City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,tiksi,71.6872,128.8694,-26.63,100,96,1.54,RU,1706917606
1,college,64.8569,-147.8028,-31.22,70,75,0.0,US,1706917601
2,faya-largeau,17.9257,19.1043,14.0,22,2,9.42,TD,1706917639
3,bredasdorp,-34.5322,20.0403,20.83,95,27,1.86,ZA,1706917639
4,sitka,57.0531,-135.33,0.94,60,100,4.12,US,1706917479
5,beaudesert,-27.9833,152.9833,30.71,40,18,1.06,AU,1706917639
6,iqaluit,63.7506,-68.5145,-26.15,70,0,5.14,CA,1706917639
7,waitangi,-43.9535,-176.5597,14.9,95,100,2.68,NZ,1706917591
8,punta arenas,-53.15,-70.9167,4.06,93,100,8.23,CL,1706917640
9,port-aux-francais,-49.35,70.2167,7.15,92,52,6.98,TF,1706917587
10,kirakira,-10.4544,161.9205,30.37,71,96,5.31,SB,1706917640
11,albany,42.6001,-73.9662,1.72,79,91,0.89,US,1706917597
12,blackmans bay,-43.0167,147.3167,22.63,28,1,0.45,AU,1706917591
13,sinop,41.7711,34.8709,0.85,96,100,1.56,TR,1706917641
14,ciudad de huajuapan de leon,17.8,-97.7667,23.41,43,55,5.75,MX,1706917641
15,la'ie,21.6477,-157.9253,24.98,66,75,4.47,US,1706917641
16,edinburgh of the seven seas,-37.0676,-12.3116,18.6,89,37,7.54,SH,1706917594
17,olonkinbyen,70.9221,-8.7187,-4.73,66,100,10.39,SJ,1706917605
18,ardakan,32.31,54.0175,3.6,53,0,0.69,IR,1706917642
19,stanley,54.868,-1.6985,12.38,82,40,13.38,GB,1706917642
20,tsiombe,-25.3,45.4833,22.4,77,82,6.61,MG,1706917643
21,puerto natales,-51.7236,-72.4875,6.25,92,100,6.15,CL,1706917586
22,burewala,30.1667,72.65,12.8,35,77,2.21,PK,1706917643
23,kodiak,57.79,-152.4072,-3.27,63,100,1.54,US,1706917643
24,adamstown,-25.066,-130.1015,25.13,80,33,2.85,PN,1706917590
25,thompson,55.7435,-97.8558,-0.91,93,20,1.03,CA,1706917605
26,argostolion,38.1811,20.489,9.3,51,47,2.33,GR,1706917644
27,wailua homesteads,22.0669,-159.378,25.24,61,20,11.32,US,1706917589
28,isla vista,34.4133,-119.861,17.66,61,20,6.17,US,1706917645
29,aasiaat,68.7098,-52.8699,-25.88,99,100,2.07,GL,1706917592
30,nova xavantina,-14.6667,-52.35,23.56,92,100,0.76,BR,1706917645
31,haiku-pauwela,20.9219,-156.3051,20.28,89,100,5.14,US,1706917645
32,isafjordur,66.0755,-23.124,-4.0,91,85,3.91,IS,1706917645
33,bilibino,68.0546,166.4372,-26.01,87,45,2.24,RU,1706917646
34,qaqortoq,60.7167,-46.0333,-20.69,79,77,3.89,GL,1706917646
35,colonia,50.9333,6.95,9.34,87,100,6.69,DE,1706917461
36,ribeira grande,38.5167,-28.7,16.54,90,77,3.13,PT,1706917600
37,san antonio de pale,-1.4014,5.6325,27.94,76,98,2.6,GQ,1706917647
38,longyearbyen,78.2186,15.6401,-12.09,79,75,3.6,SJ,1706917605
39,georgetown,5.4112,100.3354,26.64,89,20,1.54,MY,1706917597
40,eydhafushi,5.1033,73.0708,27.71,77,99,5.23,MV,1706917647
41,lerwick,60.1545,-1.1494,8.0,77,49,14.39,GB,1706917648
42,yellowknife,62.456,-114.3525,-10.4,92,100,3.09,CA,1706917603
43,yamada,39.4667,141.95,-0.38,45,56,3.82,JP,1706917648
44,enewetak,11.3474,162.3373,26.46,85,78,10.36,MH,1706917648
45,pisco,-13.7,-76.2167,25.03,73,0,10.8,PE,1706917590
46,uliastay,47.7417,96.8444,-17.24,67,100,3.23,MN,1706917649
47,island harbour,50.724,-1.2758,11.84,90,100,3.13,GB,1706917649
48,lyantor,61.6195,72.1555,-23.42,100,99,3.22,RU,1706917649
49,lobito,-12.3481,13.5456,26.75,82,100,0.59,AO,1706917649
50,avarua,-21.2078,-159.775,28.03,89,100,0.51,CK,1706917597
51,mount isa,-20.7333,139.5,24.87,94,100,7.72,AU,1706917650
52,ushuaia,-54.8,-68.3,4.81,87,100,2.57,AR,1706917604
53,cidreira,-30.1811,-50.2056,23.35,75,0,8.01,BR,1706917650
54,tolanaro,-25.0319,46.9987,24.04,78,75,3.09,MG,1706917650
